name,position,team,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Dont'e Thornton Jr.,WR,LV,0,0,0,0,0,0,0,0,15,211,1,27,0,0,0,0,0,0,0,40.8
Elijah Sarratt,WR,BAL,0,0,0,0,0,0,0,0,19,289,2,31,0,0,0,0,0,0,0,58
Jordan Whittington,WR,LAR,0,0,0,0,0,2,13,0,14,167,1,21,0,0,0,0,0,0,0,40.1
Erick All Jr.,TE,CIN,0,0,0,0,0,0,0,0,17,153,1,22,0,0,0,0,0,0,0,39.3
Drew Sample,TE,CIN,0,0,0,0,0,0,0,0,17,144,1,22,0,0,0,0,0,0,0,37.9
Luke Schoonmaker,TE,DAL,0,0,0,0,0,0,0,0,11,110,1,17,0,0,0,0,0,0,0,27.6
Daniel Bellinger,TE,TEN,0,0,0,0,0,0,0,0,13,112,0,17,0,0,0,0,0,0,0,26.9
Jalen Royals,WR,KC,0,0,0,0,0,0,0,0,13,154,1,21,0,0,0,0,0,0,0,35.7
Cade Stover,TE,HOU,0,0,0,0,0,4,10,0,15,134,1,22,0,0,0,0,0,0,0,34.6
John Bates,TE,WSH,0,0,0,0,0,0,0,0,15,134,1,21,0,0,0,0,0,0,0,34.6
Julian Hill,TE,NE,0,0,0,0,0,0,0,0,14,144,1,20,0,0,0,0,0,0,0,35.1
Teddy Bridgewater,QB,DET,13,20,147,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,9.3
David Moore,WR,CAR,0,0,0,0,0,2,11,0,3,37,0,5,0,0,0,0,0,0,0,9.4
Quintin Morris,TE,JAX,0,0,0,0,0,0,0,0,4,35,0,5,0,0,0,0,0,0,0,9.2
Oscar Delp,TE,NO,0,0,0,0,0,0,0,0,4,37,0,6,0,0,0,0,0,0,0,9
Trey Lance,QB,LAC,13,22,145,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,9.3
CJ Daniels,WR,LAR,0,0,0,0,0,0,0,0,3,42,0,5,0,0,0,0,0,0,0,9.3
Marlin Klein,TE,HOU,0,0,0,0,0,0,0,0,4,36,0,5,0,0,0,0,0,0,0,8.9
Desmond Ridder,QB,FA,13,20,143,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Tipton,WR,NO,0,0,0,0,0,4,24,0,3,38,0,6,0,0,0,0,0,0,0,11.9
Devin Culp,TE,TB,0,0,0,0,0,0,0,0,4,34,0,5,0,0,0,0,0,0,0,8.9
Eli Raridon,TE,NE,0,0,0,0,0,0,0,0,4,37,0,5,0,0,0,0,0,0,0,9
Kenny Pickett,QB,CAR,14,22,153,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,9
Justin Watson,WR,HOU,0,0,0,0,0,0,0,0,3,41,0,5,0,0,0,0,0,0,0,8.5
Lucas Krull,TE,DEN,0,0,0,0,0,0,0,0,4,35,0,5,0,0,0,0,0,0,0,8.9
Tip Reiman,TE,ARI,0,0,0,0,0,0,0,0,4,35,0,6,0,0,0,0,0,0,0,8.5
Charlie Woerner,TE,ATL,0,0,0,0,0,0,0,0,4,33,0,6,0,0,0,0,0,0,0,8.4
Tyler Conklin,TE,DET,0,0,0,0,0,0,0,0,3,37,0,5,0,0,0,0,0,0,0,8.7
Davis Mills,QB,HOU,14,23,146,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,8.3
Drew Ogletree,TE,IND,0,0,0,0,0,0,0,0,4,35,0,5,0,0,0,0,0,0,0,8.6
Cyrus Allen,WR,KC,0,0,0,0,0,0,0,0,6,78,0,10,0,0,0,0,0,0,0,16.8
Tyler Huntley,QB,BAL,12,19,126,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Jonathan Mingo,WR,DAL,0,0,0,0,0,0,0,0,3,40,0,6,0,0,0,0,0,0,0,8.3
Grant Calcaterra,TE,PHI,0,0,0,0,0,0,0,0,3,34,0,5,0,0,0,0,0,0,0,8.4
Reggie Virgil,WR,ARI,0,0,0,0,0,0,0,0,3,40,0,6,0,0,0,0,0,0,0,8.2
Eric Saubert,TE,SEA,0,0,0,0,0,0,0,0,3,34,0,5,0,0,0,0,0,0,0,8.4
Joe Royer,TE,CLE,0,0,0,0,0,0,0,0,4,34,0,5,0,0,0,0,0,0,0,8.3
Sam Roush,TE,CHI,0,0,0,0,0,0,0,0,4,34,0,5,0,0,0,0,0,0,0,8.7
Matthew Hibner,TE,BAL,0,0,0,0,0,0,0,0,3,35,0,4,0,0,0,0,0,0,0,8.4
Josh Cuevas,TE,BAL,0,0,0,0,0,0,0,0,3,35,0,4,0,0,0,0,0,0,0,8.4
Ian Thomas,TE,LV,0,0,0,0,0,0,0,0,4,36,0,5,0,0,0,0,0,0,0,8.3
Darius Cooper,WR,PHI,0,0,0,0,0,0,0,0,3,37,0,5,0,0,0,0,0,0,0,8.3
Kaden Wetjen,WR,PIT,0,0,0,0,0,2,12,0,2,19,0,3,0,0,0,0,0,0,0,8.1
Mitchell Trubisky,QB,TEN,15,24,155,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7.8
Elic Ayomanor,WR,TEN,0,0,0,0,0,0,0,0,3,38,0,6,0,0,0,0,0,0,0,7.9
Kyle Allen,QB,BUF,13,21,136,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8
Drew Lock,QB,SEA,12,20,131,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,7.9
Brady Cook,QB,NYJ,14,22,143,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7.9
Kevin Coleman Jr.,WR,MIA,0,0,0,0,0,0,0,0,10,116,0,16,0,0,0,0,0,0,0,22.8
Gardner Minshew II,QB,ARI,14,22,143,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7.2
Quinn Ewers,QB,MIA,15,24,158,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7.4
Malachi Corley,WR,CLE,0,0,0,0,0,6,42,0,0,0,0,0,0,0,0,0,0,0,0,5.7
Chris Manhertz,TE,NYG,0,0,0,0,0,0,0,0,2,16,0,3,0,0,0,0,0,0,0,4.1
Kameron Johnson,WR,TB,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,3.6
Arian Smith,WR,NYJ,0,0,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Jimmy Horn Jr.,WR,CAR,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,3.1
Charlie Jones,WR,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
British Brooks,RB,HOU,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,2.4
Kene Nwangwu,RB,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
LaJohntay Wester,WR,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
Britain Covey,WR,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
Isaiah Hodgins,WR,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean McKeon,TE,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Chisena,WR,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence Cager,TE,WSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Carter,RB,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Moore,WR,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrace Marshall Jr.,WR,MIA,0,0,0,0,0,0,0,0,16,194,0,27,0,0,0,0,0,0,0,37.9
Zach Wilson,QB,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Mitchell,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Long,TE,JAX,0,0,0,0,0,0,0,0,4,33,0,5,0,0,0,0,0,0,0,8.6
Gary Brightwell,RB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevin Jordan,TE,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ihmir Smith-Marsette,WR,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tylan Wallace,WR,CLE,0,0,0,0,0,0,0,0,14,154,1,21,0,0,0,0,0,0,0,32.5
Kylen Granson,TE,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simi Fehoko,WR,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Ehlinger,QB,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feleipe Franks,TE,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaret Patterson,RB,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody White,WR,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Stoll,TE,CLE,0,0,0,0,0,0,0,0,4,32,0,5,0,0,0,0,0,0,0,7.8
Patrick Taylor Jr.,RB,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Sills V,WR,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Metchie III,WR,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Velus Jones Jr.,RB,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dameon Pierce,RB,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jelani Woods,TE,NYJ,0,0,0,0,0,0,0,0,4,37,0,5,0,0,0,0,0,0,0,9.3
Sam Howell,QB,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ko Kieft,TE,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Gray,WR,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Strong Jr.,RB,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teagan Quitoriano,TE,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Turner,TE,MIA,0,0,0,0,0,0,0,0,11,109,0,16,0,0,0,0,0,0,0,24.5
Ty Chandler,RB,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bailey Zappe,QB,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Mitchell,TE,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samori Toure,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Oladokun,QB,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brittain Brown,RB,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Smith,WR,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julius Chestnut,RB,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Jones,WR,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Virgil,WR,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Conner,TE,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Buechele,QB,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendric Pryor,WR,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronnie Rivers,RB,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Kalinic,TE,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Trammell,WR,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Dennis Houston,WR,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornelius Johnson,WR,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamari Thrash,WR,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainias Smith,WR,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sione Vaki,RB,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahj Washington,WR,MIA,0,0,0,0,0,0,0,0,20,240,1,32,0,0,0,0,0,0,0,47.3
Tejhaun Palmer,WR,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaheim Bell,TE,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Wilson,WR,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner McLachlan,TE,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dante Miller,RB,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Watson,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carson Steele,RB,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Wiley,RB,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colson Yankoff,TE,WSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Weaver,WR,ARI,0,0,0,0,0,0,0,0,3,40,0,6,0,0,0,0,0,0,0,8.4
Brenden Bates,TE,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Schrader,RB,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Martin-Robinson,TE,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrell Jennings,RB,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Oliver,WR,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Austin Jr.,WR,NO,0,0,0,0,0,0,0,0,13,167,1,22,0,0,0,0,0,0,0,33.4
Kendall Milton,RB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Washington Jr.,RB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Grandy,TE,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Gore Jr.,RB,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.J. Jenkins,TE,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Wayne,WR,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Collier,RB,LV,0,0,0,0,0,25,104,1,0,0,0,0,0,0,0,0,0,0,0,14.1
Jack Westover,RB,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon Gabriel,QB,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Milroe,QB,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarquez Hunter,RB,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Bartholomew,TE,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalel Mullings,RB,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Watkins,WR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Mafah,RB,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Lachey,TE,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham Mertz,QB,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Fidone II,TE,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurtis Rourke,QB,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Miller,QB,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky White III,WR,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damien Martinez,RB,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caleb Lohner,TE,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Lovett,WR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moliki Matavao,TE,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Bergen,WR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle McCord,QB,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Neal,RB,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Robbie Ouzts,RB,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylen Green,QB,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Endries,TE,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bauer Sharp,TE,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Behren Morton,QB,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jam Miller,RB,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athan Kaliakmanis,QB,WSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Koziol,TE,JAX,0,0,0,0,0,0,0,0,4,36,0,5,0,0,0,0,0,0,0,9
Seydou Traore,TE,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eli Heidenreich,RB,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Allar,QB,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Nussmeier,QB,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Payton,QB,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Bond,WR,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Smith,WR,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallen Bentley,TE,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Henderson Jr.,WR,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Benson,WR,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Agnew,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Moore,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Brown,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Waller,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Powell,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Pascal,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Tonyan,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Akins,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Vannett,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Cracraft,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Ham,RB,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray-Ray McCloud III,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Gage Jr.,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Taylor,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Carter,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Tomlinson,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Firkser,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Erickson,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrick Wilson Jr.,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Dwelley,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Dobbs,QB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Driskel,QB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooper Rush,QB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dare Ogunbowale,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MyCole Pruitt,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KhaDarel Hodge,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Heinicke,QB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike White,QB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Lazard,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Renfrow,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Reynolds,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Uzomah,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordarrelle Patterson,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaal Williams,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Carlson,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lockett,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Conley,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amari Cooper,WR,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterling Shepard,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamison Crowder,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie Chosen,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Burton,RB,CLE,0,0,0,0,0,4,17,0,4,27,0,5,0,0,0,0,0,0,0,10.1
DeAndre Hopkins,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Carr,QB,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Robinson,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keenan Allen,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odell Beckham Jr.,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Ertz,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Tucker,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandin Cooks,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,QB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Woods,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon McManus,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Thielen,WR,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dustin Hopkins,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Zuerlein,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Wilson,QB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Prater,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham Gano,K,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyree Jackson,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Sims,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deonte Harty,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Ernest Johnson,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khari Blasingame,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakob Johnson,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pharaoh Brown,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Reynolds,RB,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trenton Irwin,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donald Parham Jr.,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
